KEY,en,notes,sp,fr,de,it,pt-br
ITEM_ANARCHISTCOOKBOOK_DESC,"Использование: Призовите 3-5 гранат, которые взрываются в конце раунда или при уничтожении.",,Uso: Invoca 3-5 granadas que estallan al final de la ronda o cuando se destruyen.,Utilisation&nbsp;: fait apparaître 3&nbsp;à 5&nbsp;grenades qui explosent en fin de manche ou en étant détruites.,"Benutzen: Lasse 3&nbsp;– 5 Granaten erscheinen, die am Ende der Runde, oder wenn sie zerstört werden, explodieren.",Uso: Evochi 3-5 granate che esplodono alla fine del round o quando vengono distrutte.,Uso: invoque 3-5 granadas que explodem no final da rodada ou ao serem destruídas.
ITEM_ANOINTINGOIL_NAME,Масло Помазания,,Óleo de los enfermos,Huile d'onction,Salböl,Olio da Unzione,Óleo de Unção
ITEM_ANOINTINGOIL_DESC,"Использование: Снимите ослабления с соседнего юнита или себя.
[s:.7](Можно использовать раз за битву.)[/s]",,"Uso: Elimina las desventajas de esta unidad o de otra adyacente.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: dissipe les malus d'une unité adjacente ou de vous-même.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Reinige deine Schwächungen oder die einer benachbarten Einheiten.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Rimuovi i malus da te o da un'unità adiacente.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: purifique enfraquecimentos de si ou de uma unidade adjacente.
[s:.7](Um uso por batalha.)[/s]"
ITEM_BAGOFCHUM_NAME,Мешок с Потрохами,,Bolsa de cebo,Sac d'asticots,Ködertasche,Sacco di Pastura,Bolsa de Iscas
ITEM_BAGOFCHUM_DESC,Использование: Создайте Очарованного Опарыша.,,Uso: Genera un gusano embrujado.,Utilisation&nbsp;: invoque un asticot envoûté.,Benutzen: Rufe eine freundliche Made.,Uso: Generi una Larva Ammaliata.,Uso: gere um verme enfeitiçado.
ITEM_BAGOFGLASS_NAME,Мешок Стекла,,Bolsa de cristales,Sac de verre,Scherbentasche,Sacco di Vetro,Saco de Vidro
ITEM_BAGOFGLASS_DESC,"Использование: Создайте Стекло на соседней клетке.
5% шанс сломаться при использовании.",,"Uso: Genera cristales en una casilla adyacente.
5 % de probabilidad de romperse al usarla.","Utilisation&nbsp;: fait apparaître du verre sur une case adjacente.
5&nbsp;% de chances de se briser après utilisation.","Benutzen: Lasse auf einem benachbarten Feld Scherben erscheinen.
Geht nach Benutzung mit 5%iger Wahrscheinlichkeit kaputt.","Uso: Generi Vetro su una casella adiacente.
5% di probabilità di rompersi quando viene utilizzato.","Uso: gere vidro em um espaço adjacente.
5% de chance de quebrar após o uso."
ITEM_BAGOFGLITTER_NAME,Мешок Блесток,,Bolsa de brillibrilli,Sac de paillettes,Glitzertasche,Sacco di Brillantini,Saco de Purpurina
ITEM_BAGOFGLITTER_DESC,"Использование: Наложите Слепоту 2 на соседнего юнита.
5% шанс сломаться при использовании.",,"Uso: Inflige 2 de ceguera a una unidad adyacente.
5 % de probabilidad de romperse al usarla.","Utilisation&nbsp;: inflige Cécité +2&nbsp;à une unité adjacente.
5&nbsp;% de chances de se briser après utilisation.","Benutzen: Verursache Blindheit&nbsp;2 bei einer benachbarten Einheit.
Geht nach Benutzung mit 5%iger Wahrscheinlichkeit kaputt.","Uso: Infliggi Accecamento 2 a un'unità adiacente.
5% di probabilità di rompersi quando viene utilizzato.","Uso: aplique cegueira 2 em uma unidade adjacente.
5% de chance de quebrar após o uso."
ITEM_BAGOFMEAT_NAME,Мешок Мяса,,Bolsa de carne,Sac de viande,Fleischtasche,Sacco di Carne,Saco de Carne
ITEM_BAGOFMEAT_DESC,"Использование: Создайте Мясо на соседней клетке.
5% шанс сломаться при использовании.",,"Uso: Genera carne en una casilla adyacente.
5 % de probabilidad de romperse al usarla.","Utilisation&nbsp;: fait apparaître de la viande sur une case adjacente.
5&nbsp;% de chances de se briser après utilisation.","Benutzen: Lasse auf einem benachbarten Feld Fleisch erscheinen.
Geht nach Benutzung mit 5%iger Wahrscheinlichkeit kaputt.","Uso: Generi Carne su una casella adiacente.
5% di probabilità di rompersi quando viene utilizzato.","Uso: gere carne em um espaço adjacente.
5% de chance de quebrar após o uso."
ITEM_BAGOFROCKS_NAME,Мешок Камней,,Bolsa de rocas,Sac de pierres,Steintasche,Sacco di Rocce,Saco de Pedras
ITEM_BAGOFROCKS_DESC,"Использование: Атака ближнего боя, накладывающая Ушиб.",,Uso: Lanza un ataque cuerpo a cuerpo que inflige moratón.,Utilisation&nbsp;: une attaque au corps à corps qui inflige Contusion.,"Benutzen: Ein Nahkampfangriff, der Beulen verursacht.",Uso: Un attacco corpo a corpo che infligge Livido.,Uso: um ataque corpo-a-corpo que aplica contusão.
ITEM_BAGOFSTUFF_NAME,Мешок Барахла,,Bolsa de chismes,Sac mystère,Tasche mit Zeug,Sacco di Roba,Saco de Coisas
ITEM_BAGOFSTUFF_DESC,"Использование: Создайте случайный предмет на соседней клетке.
5% шанс сломаться при использовании.",,"Uso: Genera un recogible al azar en una casilla adyacente.
5 % de probabilidad de romperse al usarla.","Utilisation&nbsp;: fait apparaître une ressource aléatoire sur une case adjacente.
5&nbsp;% de chances de se briser après utilisation.","Benutzen: Lasse auf einem benachbarten Feld einen zufälligen Gegenstand erscheinen.
Geht nach Benutzung mit 5%iger Wahrscheinlichkeit kaputt.","Uso: Generi un oggetto casuale su una casella adiacente.
5% di probabilità di rompersi quando viene utilizzato.","Uso: gere um coletável aleatório em um espaço adjacente.
5% de chance de quebrar após o uso."
ITEM_BALLPEENHAMMER_NAME,Молоток-Ручник,,Martillo de bola,Marteau à panne ronde,Schlosserhammer,Martello a Penna Sferica,Martelo de Bola
ITEM_BALLPEENHAMMER_DESC,"Использование: Атака ближнего боя. При использовании на союзнике: дает +1 использование всем его предметам вместо нанесения урона.
5% шанс сломаться при использовании для починки предметов.",,"Uso: Al lanzar este ataque cuerpo a cuerpo contra un aliado, otorga +1 uso a todos sus objetos en vez de infligir daño.
5 % de probabilidad de romperse al usarlo para reparar objetos.","Utilisation&nbsp;: une attaque au corps à corps. Utilisé sur un allié, accorde Utilisation +1&nbsp;à tous ses objets au lieu d'infliger des dégâts.
5&nbsp;% de chances de se briser après avoir été utilisé pour réparer des objets.","Benutzen. Ein Nahkampfangriff. Ist das Ziel ein Verbündeter, verleihe all seinen Gegenstand +1&nbsp;Anwendung statt Schaden zu verursachen.
Geht nach Reparatur mit 5%iger Wahrscheinlichkeit kaputt.","Uso: Un attacco corpo a corpo. Se usato su un alleato, conferisce +1 utilizzo a tutti i suoi oggetti invece di infliggere danno.
5% di probabilità di rompersi quando viene utilizzato per riparare oggetti.","Uso: um ataque corpo-a-corpo. Se utilizado em um aliado, concede +1 de todos os seus itens ao invés de causar dano.
5% de chance de quebrar após o uso."
ITEM_BARBEDPAW_NAME,Колючая Лапа,,Pata de espino,Patoune barbelée,Dornentatze,Zampa Spinata,Pata Farpada
ITEM_BARBEDPAW_DESC,"Использование: Атака ближнего боя, накладывающая Кровотечение 1.
Пассивно: +1 Шипы.",,"Uso: Lanza un ataque cuerpo a cuerpo que inflige 1 de hemorragia.
Pasiva: +1 de espinas.","Utilisation&nbsp;: une attaque au corps à corps qui inflige Saignement +1.
Passif&nbsp;: Épines +1.","Benutzen: Ein Nahkampfangriff, der Blutung&nbsp;1 verursacht.
Passiveffekt: +1&nbsp;Dornen.","Uso: Un attacco corpo a corpo che infligge Sanguinamento 1.
Abilità Passiva: +1 Spine.","Uso: um ataque corpo-a-corpo que aplica sangramento 1.
Passivo: +1 de espinhos."
ITEM_BATTERY_NAME,Батарейка,,Batería,Batterie,Batterie,Batteria,Pilha
ITEM_BATTERY_DESC,Использование: Дальняя электрическая атака с 10% шансом Оглушения.,,Uso: Lanza un ataque relámpago a distancia con un 10 % de probabilidad de aturdir.,Utilisation&nbsp;: un éclair lancé à distance avec 10&nbsp;% de chances d'infliger Étourdissement.,"Benutzen: Ein Fernkampf-Blitzangriff, der mit 10%iger Wahrscheinlichkeit Betäubung verursacht.",Uso: Un attacco elettrico a distanza con un 10% di probabilità di infliggere Stordimento.,Uso: um ataque elétrico à distância com 10% de chance de atordoar.
ITEM_BATTLEAXE_NAME,Боевой Топор,,Hacha de guerra,Hache de guerre,Streitaxt,Ascia da Battaglia,Machado de Batalha
ITEM_BATTLEAXE_DESC,"Использование: Круговая атака ближнего боя.
Это тратит и ваше движение, и действие атаки.",,"Uso: Lanza un ataque giratorio cuerpo a cuerpo.
Este objeto gasta la acción de movimiento.","Utilisation&nbsp;: une attaque au corps à corps tournoyante.
Consomme à la fois votre action de déplacement et votre action d'attaque.","Benutzen: Ein Nahkampf-Wirbelangriff.
Verbraucht deine Bewegungsaktion und deinen Angriff.","Uso: Un attacco rotante corpo a corpo.
Consuma sia la tua azione di movimento che quella di attacco.","Uso: um ataque corpo-a-corpo giratório.
Este item usa sua ação de movimento."
ITEM_BEARTRAPS_NAME,Медвежьи Капканы,,Cepos para osos,Pièges à ours,Bärenfalle,Trappole per Orsi,Armadilhas de Urso
ITEM_BEARTRAPS_DESC,Использование: Установите Медвежий Капкан.,,Uso: Coloca un cepo para osos.,Utilisation&nbsp;: place un piège à ours.,Benutzen: Lege eine Bärenfalle.,Uso: Piazzi una Trappola per Orsi.,Uso: prepare uma armadilha de urso.
ITEM_BENTSPOON_NAME,Гнутая Ложка,,Cuchara doblada,Cuillère tordue,Verbogener Löffel,Cucchiaio Piegato,Colher Dobrada
ITEM_BENTSPOON_DESC,Притяните любого юнита на 1 клетку к себе и нанесите ему 1 урон.,,Uso: Atrae a cualquier unidad 1 casilla y le inflige 1 de daño.,Utilisation&nbsp;: tire n'importe quelle unité d'une case vers vous et lui infligez 1&nbsp;dégât.,Benutzen: Ziehe eine beliebige Einheit 1&nbsp;Feld an dich heran und füge ihr 1&nbsp;Schaden zu.,Uso: Tiri un'unità qualsiasi di 1 casella verso di te e le infliggi 1 danno.,Uso: puxe qualquer unidade 1 espaço na sua direção e cause 1 de dano a ela.
ITEM_BIBLE_NAME,Библия,,La Biblia,La Sainte Bible,Die Bibel,La Bibbia,Bíblia
ITEM_BIBLE_DESC,"Использование: Снимите один стак случайного ослабления с юнита в ближнем бою.
Пассивно: Ваши исцеления лечат на 1 больше.",,"Uso: Elimina una acumulación de una desventaja al azar de una unidad que esté al alcance del cuerpo a cuerpo. 
Pasiva: Las acciones curativas devuelven 1 PS extra.","Utilisation&nbsp;: dissipe le cumul d'un malus aléatoire d'une unité au corps à corps.
Passif&nbsp;: vos soins guérissent 1&nbsp;fois de plus.","Benutzen: Reinige einen Stapel einer zufälligen Schwächung bei einer Einheit in Nahkampfreichweite.
Passiveffekt: Deine Heilungen heilen 1&nbsp;LP mehr.","Uso: Rimuovi uno stack di un malus casuale da un'unità a una distanza corpo a corpo.
Abilità Passiva: Le tue cure rigenerano 1 PS in più.","Uso: purifique uma acumulação de um enfraquecimento aleatório de uma unidade dentro do alcance corpo-a-corpo.
Passivo: suas curas são 1 ponto mais efetivas."
ITEM_BIGGESTSTICK_NAME,Самая Большая Палка,,Palo grandísimo,Gigabâton,Der größte Stock,Bastone Enorme,Bastão Enorme
ITEM_BIGGESTSTICK_DESC,Использование: Атака ближнего боя с +3 к дальности.,,Uso: Lanza un ataque cuerpo a cuerpo con +3 de extensión.,Utilisation&nbsp;: une attaque au corps à corps avec Allonge +3.,Benutzen: Ein Nahkampfangriff mit +3&nbsp;Reichweite.,Uso: Un attacco corpo a corpo con portata +3.,Uso: um ataque corpo-a-corpo com +3 de envergadura.
ITEM_BIGSPRING_NAME,Большая Пружина,,Muelle grande,Gros ressort,Große Feder,Molla Gigante,Mola Grande
ITEM_BIGSPRING_DESC,Использование: Бросьте соседнего юнита на клетку.,,Uso: Lanza a una unidad adyacente hacia otra casilla.,Utilisation&nbsp;: propulse une unité adjacente sur une case.,Benutzen: Wirf eine benachbarte Einheit auf ein beliebiges Feld.,Uso: Lanci un'unità adiacente su una casella.,Uso: lance uma unidade adjacente em um espaço.
ITEM_BIGSTICK_NAME,Большая Палка,,Palo grande,Gros bâton,Großer Stock,Bastone Grande,Bastão Grande
ITEM_BIGSTICK_DESC,Использование: Атака ближнего боя с +2 к дальности.,,Uso: Lanza un ataque cuerpo a cuerpo con +2 de extensión.,Utilisation&nbsp;: une attaque au corps à corps avec Allonge +2.,Benutzen: Ein Nahkampfangriff mit +2&nbsp;Reichweite.,Uso: Un attacco corpo a corpo con portata +2.,Uso: um ataque corpo-a-corpo com +2 de envergadura.
ITEM_BLACKJACK_NAME,Дубинка,,Cachiporra,Matraque,Schlagstock,Manganello,Blackjack
ITEM_BLACKJACK_DESC,"Использование: Атака ближнего боя с 5% шансом Оглушения.
Автоматически используется, когда вы останавливаетесь рядом с врагом или враг останавливается рядом с вами.",,"Uso: Lanza un ataque cuerpo a cuerpo con un 5 % de probabilidad de aturdir.
Se usa automáticamente cuando esta unidad se detiene junto a un enemigo o viceversa.","Utilisation&nbsp;: une attaque au corps à corps avec 5&nbsp;% de chances d'infliger Étourdissement.
Utilisation automatique quand vous vous arrêtez à côté d'un ennemi ou qu'un ennemi se place à côté de vous.","Benutzen: Ein Nahkampfangriff, der mit 5%iger Wahrscheinlichkeit Betäubung verursacht.
Benutze ihn automatisch, wenn du neben einem Gegner stehenbleibst oder ein Gegner neben dir stehenbleibt.","Uso: Un attacco corpo a corpo con un 5% probabilità di infliggere Stordimento.
Lo usi automaticamente quando ti fermi accanto a un nemico o un nemico si ferma accanto a te.","Uso: um ataque corpo-a-corpo com 5% de chance de atordoar.
Use isto automaticamente ao parar ao lado de um inimigo ou um inimigo parar ao seu lado."
ITEM_BLACKMUSHROOM_NAME,Черный Гриб,,Seta negra,Champi noir,Schwarzer Pilz,Fungo Nero,Cogumelo Preto
ITEM_BLACKMUSHROOM_DESC,"Использование: Дальняя атака, накладывающая Слабость 2.
[s:.7](Можно использовать раз за битву.)[/s]",,"Uso: Lanza un ataque a distancia que inflige 2 de debilidad.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: une attaque à distance qui inflige Vulnérabilité 2.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Ein Fernkampfangriff, der Schwäche&nbsp;2 verursacht.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Un attacco a distanza che infligge Debolezza 2.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: um ataque à distância que aplica fraqueza 2.
[s:.7](Um uso por batalha.)[/s]"
ITEM_BLESSEDANOINTINGOIL_NAME,Освященное Масло,,Santos óleos,Huile d'onction bénie,Gesegnetes Salböl,Olio da Unzione Benedetto,Óleo de Unção Abençoado
ITEM_BLESSEDANOINTINGOIL_DESC,Использование: Снимите ослабления и исцелите соседнего юнита или себя.,,Uso: Elimina las desventajas y cura a esta unidad o a otra adyacente.,Utilisation&nbsp;: dissipe les malus et régénère les PV d'une unité adjacente ou de vous-même.,Benutzen: Reinige Schwächungen und heile dich oder eine benachbarte Einheit.,Uso: Rimuove i malus e cura te o un'unità adiacente.,Uso: purifique enfraquecimentos e cure a si ou uma unidade adjacente.
ITEM_BLOODBUCKET_NAME,Ведро Крови,,Cubo de sangre,Seau de sang,Bluteimer,Secchio di Sangue,Balde de Sangue
ITEM_BLOODBUCKET_DESC,"Использование: Навесная атака, создающая лужу крови.",,Uso: Lanza un ataque en arco que crea un charco de líquido tóxico.,Utilisation&nbsp;: une attaque en cloche qui génère une flaque de substance visqueuse.,"Benutzen: Ein Angriff, der Hindernisse ignoriert und eine gruselige Pfütze erschafft.",Uso: Un attacco a parabola che crea una pozza di melma.,Uso: um ataque em arco que cria uma poça de videiras.
ITEM_BLOODYBAGOFGLASS_NAME,Кровавый Мешок Стекла,,Bolsa sangrienta de cristales,Sac de verre ensanglanté,Blutige Scherbentasche,Sacco di Vetro Insanguinato,Saco de Vidro Ensanguentado
ITEM_BLOODYBAGOFGLASS_DESC,"Использование: Бросьте снаряд, создающий стекло.",,Uso: Lanza un proyectil que crea cristales.,Utilisation&nbsp;: lance un projectile faisant apparaître du verre.,"Benutzen: Wirf ein Geschoss, das Glas erscheinen lässt.",Uso: Lanci un proiettile che crea vetro.,Uso: lance um projétil que cria vidro.
ITEM_BLOODYBEARTRAPS_NAME,Кровавые Медвежьи Капканы,,Cepos sangrientos para osos,Pièges à ours ensanglantés,Blutige Bärenfalle,Trappole per Orsi Insanguinate,Armadilhas de Urso Ensanguentadas
ITEM_BLOODYBEARTRAPS_DESC,Использование: Установите Медвежий Капкан.,,Uso: Coloca un cepo para osos.,Utilisation&nbsp;: place un piège à ours.,Benutzen: Lege eine Bärenfalle.,Uso: Piazzi una Trappola per Orsi.,Uso: prepare uma armadilha de urso.
ITEM_BLOODYBUTTERFLYKNIFE_NAME,Кровавый Нож,,Cuchillo sangriento,Couteau ensanglanté,Blutiges Messer,Coltello Insanguinato,Faca Ensanguentada
ITEM_BLOODYBUTTERFLYKNIFE_DESC,"Использование: Многоударная атака ближнего боя с Вампиризмом, накладывающая Кровотечение.
[s:.7](Можно использовать раз за битву.)[/s]",,"Uso: Lanza un ataque cuerpo a cuerpo que golpea varias veces con robavida y que inflige hemorragia.
[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: une attaque multiple au corps à corps avec Vol de vie qui inflige Saignement.
[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Ein mehrfach treffender Nahkampfangriff, der Leben absaugt und Blutung verursacht.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Un attacco corpo a corpo multi-colpo con Rubavita che infligge Sanguinamento.
[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: um ataque corpo-a-corpo multigolpes com roubo de vida que aplica sangramento.
[s:.7](Um uso por batalha.)[/s]"
ITEM_BLOODYMEATHOOK_NAME,Кровавый Мясной Крюк,,Gancho sangriento para carne,Crochet de boucher ensanglanté,Blutiger Fleischhaken,Uncino da Carne Insanguinato,Gancho de Carne Ensanguentado
ITEM_BLOODYMEATHOOK_DESC,"Использование: Притяните юнита к себе, нанося Рассечение и накладывая Кровотечение 1.",,"Uso: Atrae a una unidad, le practica una incisión y le inflige 1 de hemorragia.","Utilisation&nbsp;: attire une unité vers vous, effectue une attaque tranchante et inflige Saignement 1.",Benutzen: Zieh eine Einheit an dich heran und verursache Blutung&nbsp;1.,"Uso: Tiri un'unità verso di te, infliggendole Fendente e Sanguinamento 1.","Uso: puxe uma unidade na sua direção, causando cisão e aplicando sangramento 1."
ITEM_BLOODYSOULCLAW_NAME,Кровавый Коготь Души,,Garra de alma sangrienta,Griffe spirituelle ensanglantée,Blutige Seelenkralle,Artiglio dell'Anima Insanguinato,Garra de Alma Ensanguentada
ITEM_BLOODYSOULCLAW_DESC,"Использование: Атака ближнего боя, наносящая урон, равный количеству оставшихся использований.
Когда это оружие убивает юнита, оно получает +2 использования и вы лечите 5 ОЗ.",,"Uso: Lanza un ataque cuerpo a cuerpo que inflige el mismo daño que usos queden.
Cuando el arma mata a una unidad, obtiene +2 usos y esta unidad recupera 5 PS.","Utilisation&nbsp;: une attaque au corps à corps qui inflige des dégâts égaux au nombre d'utilisations restantes.
Quand cette arme achève une unité, elle gagne Utilisation +2&nbsp;et vous récupérez 5&nbsp;PV.","Benutzen: Ein Nahkampfangriff, dessen Schaden der Anzahl seiner verbleibenden Anwendungen entspricht.
Tötet diese Waffe eine Einheit, erhält sie +2&nbsp;Benutzungen und du heilst dich um 5&nbsp;LP.","Uso: Un attacco corpo a corpo che infligge danno pari al numero di utilizzi rimasti.
Quando quest'arma uccide un'unità, ottiene +2 utilizzi e tu recuperi 5 PS.","Uso: um ataque corpo-a-corpo que causa dano equivalente à quantidade de usos restantes que este item possui.
Quando esta arma mata uma unidade, ela obtém +2 usos e cura 5 PV."
ITEM_BLOODYSPIKES_NAME,Кровавые Шипы,,Pinchos sangrientos,Pics ensanglantés,Blutige Spitzen,Spine Insanguinate,Espinhos Ensanguentados
ITEM_BLOODYSPIKES_DESC,"+1 Шипы.
Использование: Дальняя атака.",,"+1 de espinas.
Uso: Lanza un ataque a distancia.","Épines +1.
Utilisation&nbsp;: une attaque à distance.","+1&nbsp;Dornen.
Benutzen: Ein Fernkampfangriff.","+1 Spine.
Uso: Un attacco a distanza.","+1 de espinhos.
Uso: um ataque à distância."
ITEM_BLOODYSTICK_NAME,Кровавая Палка,,Palo sangriento,Bâton ensanglanté,Blutiger Stock,Bastone Insanguinato,Bastão Ensanguentado
ITEM_BLOODYSTICK_DESC,"+1 Регенерация Здоровья.
Использование: Атака ближнего боя с +1 к дальности.",,"+1 de regeneración de salud.
Uso: Lanza un ataque cuerpo a cuerpo con +1 de extensión.","Régénération de PV +1.
Utilisation&nbsp;: une attaque au corps à corps avec Allonge +1.","+1&nbsp;Lebensregeneration.
Benutzen: Ein Nahkampfangriff mit +1&nbsp;Reichweite.","+1 Rigenerazione Salute.
Uso: Un attacco corpo a corpo con portata +1.","+1 de regeneração de saúde.
Uso: um ataque corpo-a-corpo com +1 de envergadura."
ITEM_BO_NAME,Бо,,Bo,Bô,Bo,Bo,Bo
ITEM_BO_DESC,Использование: Атака ближнего боя. При ударе: прыжок вперед на 2 клетки.,,"Uso: Lanza un ataque cuerpo a cuerpo. Al golpear, salta 2 casillas hacia delante.","Utilisation&nbsp;: une attaque au corps à corps. Exécutée avec réussite, vous sautez de 2&nbsp;cases vers l'avant.","Benutzen: Ein Nahkampfangriff. Spring 2&nbsp;Felder vorwärts, wenn du triffst.","Uso: Un attacco corpo a corpo. In caso vada a segno, salti in avanti di 2 caselle.","Uso: um ataque corpo-a-corpo. Ao golpear, salte 2 espaços para frente."
ITEM_BOMB_NAME,Бомба,,Bomba,Bomb,Bombe,Bomba,Bomba
ITEM_BOMB_DESC,"Использование: Бросьте бомбу, которая взрывается.",,Uso: Lanza una bomba que hace explosión.,Utilisation&nbsp;: lance une bombe qui explose.,Benutzen: Wirf eine explodierende Bombe.,Uso: Lanci una bomba che esplode.,Uso: lance uma bomba que explode.
ITEM_BONECLUB_NAME,Костяная Дубина,,Garrote de hueso,Batte tibia,Knochenkeule,Mazza d'Osso,Porrete de Osso
ITEM_BONECLUB_DESC,"Использование: Атака ближнего боя.
Это оружие имеет 15% шанс сломаться при каждом использовании.",,"Uso: Lanza un ataque cuerpo a cuerpo.
Esta arma tiene un 15 % de probabilidad de romperse cada vez que se usa.","Utilisation&nbsp;: une attaque au corps à corps.
Cette arme a 15&nbsp;% de chances de se briser à chaque utilisation.","Benutzen: Ein Nahkampfangriff.
Geht nach Benutzung mit 15%iger Wahrscheinlichkeit kaputt.","Uso: Un attacco corpo a corpo.
Quest'arma ha un 15% di probabilità di rompersi ogni volta che viene usata.","Uso: um ataque corpo-a-corpo.
Esta arma possui uma chance de 15% de quebrar a cada vez que é utilizada."
ITEM_BOOKOFBELIAL_NAME,Книга Велиала,,Libro de Belial,Livre de Bélial,Buch des Belial,Libro di Belial,Livro de Belial
ITEM_BOOKOFBELIAL_DESC,"Использование: Получите +3 к Урону.
ПЕРЕЗАРЯДКА: Убейте врага.",,"Uso: Obtiene +3 de daño.
RECARGA: Mata a un enemigo.","Utilisation&nbsp;: Dégâts +3.
RECHARGE&nbsp;: tuer un ennemi.","Benutzen: Erhalte +3&nbsp;Schaden.
NACHLADEN: Töte einen Gegner.","Uso: Ottieni +3 al Danno.
RICARICA: Uccidi un nemico.","Uso: obtenha +3 de dano.
RECARREGAMENTO: mate um inimigo."
ITEM_BOTTLES_NAME,Бутылки,,Botellas,Bouteilles,Flasche,Bottiglie,Garrafas
ITEM_BOTTLES_DESC,"Использование: Навесная атака, создающая тайл стекла.",,Uso: Lanza un ataque en arco que genera una casilla de cristales.,Utilisation&nbsp;: une attaque en cloche qui fait apparaître une case de verre.,"Benutzen: Ein Angriff, der Hindernisse ignoriert und ein Scherbenfeld erschafft.",Uso: Un attacco a parabola che genera una casella di vetro.,Uso: um ataque em arco que gera um espaço de vidro.
ITEM_BOTTLESOFBLOOD_NAME,Бутылки с Кровью,,Botellas de sangre,Bouteilles de sang,Blutflasche,Bottiglie di Sangue,Garrafas de Sangue
